Mean: [188.25058859824313, 254.9150470066735, 4.147904590254437]
[1.0, 332.0, 8.0]
[1.0, 322.0, 1.0]
[1.0, 321.0, 1.0]
[1.0, 323.0, 5.0]
[1.0, 232.0, 3.0]
[1.0, 313.0, 9.0]
[1.0, 223.0, 3.0]
[1.0, 341.0, 7.0]
[1.0, 221.0, 1.0]
[1.0, 424.0, 2.0]
[1.0, 344.0, 4.0]
[1.0, 331.0, 6.0]
[2.0, 214.0, 6.0]
[2.0, 344.0, 2.0]
[2.0, 313.0, 1.0]
[2.0, 324.0, 1.0]
[3.0, 221.0, 1.0]
[3.0, 322.0, 9.0]
[3.0, 431.0, 9.0]
[3.0, 332.0, 1.0]
[3.0, 344.0, 5.0]
[3.0, 331.0, 4.0]
[3.0, 223.0, 9.0]
[3.0, 242.0, 2.0]
[3.0, 222.0, 8.0]
[3.0, 211.0, 3.0]
[3.0, 341.0, 9.0]
[3.0, 324.0, 3.0]
[3.0, 443.0, 4.0]
[4.0, 324.0, 2.0]
[4.0, 322.0, 4.0]
[4.0, 323.0, 11.0]
[4.0, 423.0, 5.0]
[5.0, 231.0, 4.0]
[5.0, 221.0, 3.0]
[5.0, 233.0, 2.0]
[5.0, 232.0, 8.0]
[5.0, 322.0, 2.0]
[5.0, 314.0, 8.0]
[6.0, 423.0, 3.0]
[6.0, 431.0, 4.0]
[6.0, 322.0, 7.0]
[6.0, 231.0, 1.0]
[6.0, 233.0, 4.0]
[6.0, 211.0, 7.0]
[6.0, 224.0, 2.0]
[6.0, 323.0, 2.0]
[6.0, 332.0, 9.0]
[6.0, 241.0, 3.0]
[6.0, 223.0, 1.0]
[6.0, 443.0, 8.0]
[6.0, 243.0, 8.0]
[6.0, 424.0, 3.0]
[6.0, 221.0, 2.0]
[6.0, 324.0, 11.0]
[7.0, 232.0, 2.0]
[7.0, 242.0, 4.0]
[7.0, 322.0, 8.0]
[7.0, 343.0, 1.0]
[7.0, 244.0, 2.0]
[7.0, 331.0, 7.0]
[7.0, 332.0, 8.0]
[7.0, 221.0, 2.0]
[8.0, 433.0, 5.0]
[8.0, 322.0, 8.0]
[8.0, 331.0, 11.0]
[8.0, 323.0, 1.0]
[8.0, 223.0, 5.0]
[8.0, 332.0, 2.0]
[8.0, 324.0, 6.0]
[9.0, 223.0, 2.0]
[9.0, 231.0, 5.0]
[9.0, 322.0, 11.0]
[9.0, 323.0, 2.0]
[9.0, 232.0, 2.0]
[9.0, 422.0, 10.0]
[9.0, 442.0, 3.0]
[9.0, 331.0, 3.0]
[10.0, 344.0, 10.0]
[10.0, 323.0, 2.0]
[10.0, 332.0, 1.0]
[10.0, 343.0, 10.0]
[10.0, 311.0, 1.0]
[10.0, 331.0, 2.0]
[10.0, 322.0, 2.0]
[10.0, 321.0, 1.0]
[10.0, 422.0, 1.0]
[10.0, 212.0, 3.0]
[10.0, 211.0, 2.0]
[11.0, 223.0, 3.0]
[11.0, 331.0, 3.0]
[11.0, 343.0, 4.0]
